day_of_week,hour,energy_load
0,19,447
0,20,435
0,21,451
0,22,442
0,23,444
1,0,446
1,1,447
1,2,476
1,3,480
1,4,459
1,5,500
1,6,468
1,7,447
1,8,468
1,9,451
1,10,510
1,11,482
1,12,472
1,13,498
1,14,446
1,15,436
1,16,436
1,17,439
1,18,484
1,19,488
1,20,425
1,21,432
1,22,422
1,23,417
2,0,431
2,1,437
2,2,504
2,3,583
2,4,647
2,5,658
2,6,681
2,7,682
2,8,721
2,9,728
2,10,683
2,11,632
2,12,589
2,13,553
2,14,489
2,15,486
2,16,469
2,17,479
2,18,459
2,19,451
2,20,449
2,21,454
2,22,447
2,23,453
3,0,439
3,1,470
3,2,514
3,3,585
3,4,690
3,5,723
3,6,720
3,7,746
3,8,751
3,9,723
3,10,717
3,11,733
3,12,687
3,13,621
3,14,489
3,15,462
3,16,474
3,17,494
3,18,440
3,19,437
3,20,424
3,21,420
3,22,441
3,23,426
4,0,423
4,1,438
4,2,500
4,3,573
4,4,691
4,5,722
4,6,713
4,7,737
4,8,714
4,9,688
4,10,708
4,11,679
4,12,631
4,13,553
4,14,464
4,15,452
4,16,455
4,17,445
4,18,453
4,19,432
4,20,466
4,21,442
4,22,463
4,23,464
5,0,423
5,1,439
5,2,431
5,3,446
5,4,445
5,5,446
5,6,446
5,7,449
5,8,461
5,9,487
5,10,492
5,11,457
5,12,441
5,13,458
5,14,447
5,15,432
5,16,442
5,17,458
5,18,450
5,19,431
5,20,452
5,21,482
5,22,439
5,23,436
6,0,440
6,1,473
6,2,429
6,3,423
6,4,429
6,5,413
6,6,386
6,7,422
6,8,445
6,9,470
6,10,497
6,11,426
6,12,454
6,13,444
6,14,476
6,15,488
6,16,434
6,17,438
6,18,472
6,19,474
6,20,446
6,21,412
6,22,410
6,23,425
0,0,451
0,1,436
0,2,526
0,3,574
0,4,663
0,5,689
0,6,780
0,7,821
0,8,783
0,9,763
0,10,785
0,11,745
0,12,648
0,13,598
0,14,528
0,15,543
0,16,467
0,17,447
0,18,437
0,19,479
0,20,479
0,21,464
0,22,462
0,23,431
